Station,Years,Mean_mm,Std_mm,Min_mm,Max_mm
91,1,91.0,,91,91
92,1,92.0,,92,92
93,1,93.0,,93,93
94,1,94.0,,94,94
95,1,95.0,,95,95
96,1,96.0,,96,96
97,1,97.0,,97,97
98,1,98.0,,98,98
99,1,99.0,,99,99
100,1,100.0,,100,100
101,1,101.0,,101,101
102,1,102.0,,102,102
103,1,103.0,,103,103
104,1,104.0,,104,104
105,1,105.0,,105,105
106,1,106.0,,106,106
107,1,107.0,,107,107
108,1,108.0,,108,108
109,1,109.0,,109,109
110,1,110.0,,110,110
111,1,111.0,,111,111
112,1,112.0,,112,112
113,1,113.0,,113,113
114,1,114.0,,114,114
115,1,115.0,,115,115
116,1,116.0,,116,116
117,1,117.0,,117,117
118,1,118.0,,118,118
119,1,119.0,,119,119
120,1,120.0,,120,120
121,1,121.0,,121,121
122,1,122.0,,122,122
123,1,123.0,,123,123
124,1,124.0,,124,124
125,1,125.0,,125,125
126,1,126.0,,126,126
127,1,127.0,,127,127
128,1,128.0,,128,128
129,1,129.0,,129,129
130,1,130.0,,130,130
131,1,131.0,,131,131
132,1,132.0,,132,132
133,1,133.0,,133,133
134,1,134.0,,134,134
135,1,135.0,,135,135
136,1,136.0,,136,136
137,1,137.0,,137,137
138,1,138.0,,138,138
139,1,139.0,,139,139
140,1,140.0,,140,140
141,1,141.0,,141,141
142,1,142.0,,142,142
143,1,143.0,,143,143
144,1,144.0,,144,144
145,1,145.0,,145,145
146,1,146.0,,146,146
147,1,147.0,,147,147
148,1,148.0,,148,148
149,1,149.0,,149,149
150,1,150.0,,150,150
151,1,151.0,,151,151
152,1,152.0,,152,152
153,1,153.0,,153,153
154,1,154.0,,154,154
155,1,155.0,,155,155
156,1,156.0,,156,156
157,1,157.0,,157,157
158,1,158.0,,158,158
159,1,159.0,,159,159
160,1,160.0,,160,160
161,1,161.0,,161,161
162,1,162.0,,162,162
163,1,163.0,,163,163
164,1,164.0,,164,164
165,1,165.0,,165,165
166,1,166.0,,166,166
167,1,167.0,,167,167
168,1,168.0,,168,168
169,1,169.0,,169,169
170,1,170.0,,170,170
171,1,171.0,,171,171
172,1,172.0,,172,172
173,1,173.0,,173,173
174,1,174.0,,174,174
175,1,175.0,,175,175
176,1,176.0,,176,176
177,1,177.0,,177,177
178,1,178.0,,178,178
179,1,179.0,,179,179
180,1,180.0,,180,180
181,1,181.0,,181,181
182,1,182.0,,182,182
183,1,183.0,,183,183
184,1,184.0,,184,184
185,1,185.0,,185,185
186,1,186.0,,186,186
187,1,187.0,,187,187
188,1,188.0,,188,188
189,1,189.0,,189,189
190,1,190.0,,190,190
191,1,191.0,,191,191
192,1,192.0,,192,192
193,1,193.0,,193,193
194,1,194.0,,194,194
195,1,195.0,,195,195
196,1,196.0,,196,196
197,1,197.0,,197,197
198,1,198.0,,198,198
199,1,199.0,,199,199
200,1,200.0,,200,200
201,1,201.0,,201,201
202,1,202.0,,202,202
203,1,203.0,,203,203
204,1,204.0,,204,204
205,1,205.0,,205,205
206,1,206.0,,206,206
207,1,207.0,,207,207
208,1,208.0,,208,208
209,1,209.0,,209,209
210,1,210.0,,210,210
211,1,211.0,,211,211
212,1,212.0,,212,212
213,1,213.0,,213,213
214,1,214.0,,214,214
215,1,215.0,,215,215
216,1,216.0,,216,216
217,1,217.0,,217,217
218,1,218.0,,218,218
219,1,219.0,,219,219
220,1,220.0,,220,220
221,1,221.0,,221,221
222,1,222.0,,222,222
223,1,223.0,,223,223
224,1,224.0,,224,224
225,1,225.0,,225,225
226,1,226.0,,226,226
227,1,227.0,,227,227
228,1,228.0,,228,228
229,1,229.0,,229,229
230,1,230.0,,230,230
231,1,231.0,,231,231
232,1,232.0,,232,232
233,1,233.0,,233,233
234,1,234.0,,234,234
235,1,235.0,,235,235
236,1,236.0,,236,236
237,1,237.0,,237,237
238,1,238.0,,238,238
239,1,239.0,,239,239
240,1,240.0,,240,240
241,1,241.0,,241,241
242,1,242.0,,242,242
243,1,243.0,,243,243
244,1,244.0,,244,244
245,1,245.0,,245,245
246,1,246.0,,246,246
247,1,247.0,,247,247
248,1,248.0,,248,248
249,1,249.0,,249,249
250,1,250.0,,250,250
251,1,251.0,,251,251
252,1,252.0,,252,252
253,1,253.0,,253,253
254,1,254.0,,254,254
255,1,255.0,,255,255
256,1,256.0,,256,256
257,1,257.0,,257,257
258,1,258.0,,258,258
259,1,259.0,,259,259
260,1,260.0,,260,260
261,1,261.0,,261,261
262,1,262.0,,262,262
263,1,263.0,,263,263
264,1,264.0,,264,264
265,1,265.0,,265,265
266,1,266.0,,266,266
267,1,267.0,,267,267
268,1,268.0,,268,268
269,1,269.0,,269,269
270,1,270.0,,270,270
271,1,271.0,,271,271
272,1,272.0,,272,272
273,1,273.0,,273,273
274,1,274.0,,274,274
275,1,275.0,,275,275
276,1,276.0,,276,276
